pf,0F,po,so,o,proc,st,m,rl,x,mnemonic,op1,op2,op3,op4,iext,tested f,modif f,def f,undef f,f values,"description, notes                                        "
,,D2,,7,,,,,,SAR,r/m8,CL,,,,,o..szapc,o..sz.pc,o....a..,,Shift
,,D3,,0,,,,,,ROL,r/m16/32,CL,,,,,o..szapc,o..szapc,o.......,,Rotate
,,D3,,1,,,,,,ROR,r/m16/32,CL,,,,,o..szapc,o..szapc,o.......,,Rotate
,,D3,,2,,,,,,RCL,r/m16/32,CL,,,,.......c,o..szapc,o..szapc,o.......,,Rotate
,,D3,,3,,,,,,RCR,r/m16/32,CL,,,,.......c,o..szapc,o..szapc,o.......,,Rotate
,,D3,,4,,,,,,SHL,r/m16/32,CL,,,,,o..szapc,o..sz.pc,o....a.c,,Shift
,,,,,,,,,,SAL,r/m16/32,CL,,,,,,,,,
,,D3,,5,,,,,,SHR,r/m16/32,CL,,,,,o..szapc,o..sz.pc,o....a.c,,Shift
,,D3,,6,,U2,,,,SAL,r/m16/32,CL,,,,,o..szapc,o..sz.pc,o....a.c,,Shift
,,,,,,,,,,SHL,r/m16/32,CL,,,,,,,,,
,,D3,,7,,,,,,SAR,r/m16/32,CL,,,,,o..szapc,o..sz.pc,.....a..,,Shift
,,D4,0A,,,,,,,AAM,AL,AH,,,,,o..szapc,...sz.p.,o....a.c,,ASCII Adjust AX After Multiply
,,D4,,,,,,,,AMX,AL,AH,imm8,,,,o..szapc,...sz.p.,o....a.c,,Adjust AX After Multiply
,,D5,0A,,,,,,,AAD,AL,AH,,,,,o..szapc,...sz.p.,o....a.c,,ASCII Adjust AX Before Division
,,D5,,,,,,,,ADX,AL,AH,imm8,,,,o..szapc,...sz.p.,o....a.c,,Adjust AX Before Division
,,D6,,,02+,D3,,,,undefined,,,,,,,,,,,Undefined and Reserved; Does not Generate #UD
,,D6,,,02+,U4,,,,SALC,AL,,,,,.......c,,,,,Set AL If Carry
,,,,,,,,,,SETALC,AL,,,,,,,,,,
,,D7,,,,,,,,XLAT,AL,m8,,,,,,,,,Table Look-up Translation
,,,,,,,,,,XLATB,AL,m8,,,,,,,,,
,,D8,,0,,,,,,FADD,ST,m32real,,,,,123,.1..,0.23,,Add
,,,,,,,,,,FADD,ST,STi,,,,,,,,,
,,D8,,1,,,,,,FMUL,ST,m32real,,,,,123,.1..,0.23,,Multiply
,,,,,,,,,,FMUL,ST,STi,,,,,,,,,
,,D8,,2,,,,,,FCOM,ST,STi/m32real,,,,,123,123,,,Compare Real
,,D8,D1,2,,,,,,FCOM,ST,ST1,,,,,123,123,,,Compare Real
,,D8,,3,,,,,p,FCOMP,ST,STi/m32real,,,,,123,123,,,Compare Real and Pop
,,D8,D9,3,,,,,p,FCOMP,ST,ST1,,,,,123,123,,,Compare Real and Pop
,,D8,,4,,,,,,FSUB,ST,m32real,,,,,123,.1..,0.23,,Subtract
,,,,,,,,,,FSUB,ST,STi,,,,,,,,,
,,D8,,5,,,,,,FSUBR,ST,m32real,,,,,123,.1..,0.23,,Reverse Subtract
,,,,,,,,,,FSUBR,ST,STi,,,,,,,,,
,,D8,,6,,,,,,FDIV,ST,m32real,,,,,123,.1..,0.23,,Divide
,,,,,,,,,,FDIV,ST,STi,,,,,,,,,
,,D8,,7,,,,,,FDIVR,ST,m32real,,,,,123,.1..,0.23,,Reverse Divide
,,,,,,,,,,FDIVR,ST,STi,,,,,,,,,
,,D9,,0,,,,,s,FLD,ST,STi/m32real,,,,,123,.1..,0.23,,Load Floating Point Value
,,D9,,1,,,,,,FXCH,ST,STi,,,,,123,.1..,0.23,,Exchange Register Contents
,,D9,C9,1,,,,,,FXCH,ST,ST1,,,,,123,.1..,0.23,,Exchange Register Contents
,,D9,,2,,,,,,FST,m32real,ST,,,,,123,.1..,0.23,,Store Floating Point Value
,,D9,D0,2,,,,,,FNOP,,,,,,,123,,123,,No Operation
,,D9,,3,,,,,p,FSTP,m32real,ST,,,,,123,.1..,0.23,,Store Floating Point Value and Pop
,,D9,,3,03+,U9,,,p,FSTP1,STi,ST,,,,,123,.1..,0.23,,Store Floating Point Value and Pop
,,D9,,4,,,,,,FLDENV,m14/28,,,,,,123,123,,,Load x87 FPU Environment
,,D9,E0,4,,,,,,FCHS,ST,,,,,,123,.1..,0.23,,Change Sign
,,D9,E1,4,,,,,,FABS,ST,,,,,,123,.1..,0.23,,Absolute Value
,,D9,E4,4,,,,,,FTST,ST,,,,,,123,123,,,Test
,,D9,E5,4,,,,,,FXAM,ST,,,,,,123,123,,,Examine
,,D9,,5,,,,,,FLDCW,m16,,,,,,123,,123,,Load x87 FPU Control Word
,,D9,E8,5,,,,,s,FLD1,ST,,,,,,123,.1..,0.23,,Load Constant +1.0
,,D9,E9,5,,,,,s,FLDL2T,ST,,,,,,123,.1..,0.23,,Load Constant log210
,,D9,EA,5,,,,,s,FLDL2E,ST,,,,,,123,.1..,0.23,,Load Constant log2e
,,D9,EB,5,,,,,s,FLDPI,ST,,,,,,123,.1..,0.23,,Load Constant π
,,D9,EC,5,,,,,s,FLDLG2,ST,,,,,,123,.1..,0.23,,Load Constant log102
,,D9,ED,5,,,,,s,FLDLN2,ST,,,,,,123,.1..,0.23,,Load Constant loge2
,,D9,EE,5,,,,,s,FLDZ,ST,,,,,,123,.1..,0.23,,Load Constant +0.0
,,D9,,6,,,,,,FNSTENV,m14/28,,,,,,123,,123,,Store x87 FPU Environment
9B,,D9,,6,,,,,,FSTENV,m14/28,,,,,,123,,123,,Store x87 FPU Environment
,,D9,F0,6,,,,,,F2XM1,ST,,,,,,123,.1..,0.23,,Compute 2x-1
,,D9,F1,6,,,,,p,FYL2X,ST1,ST,,,,,123,.1..,0.23,,Compute y × log2x and Pop
,,D9,F2,6,,,,,s,FPTAN,ST,,,,,,123,.12.,0..3,,Partial Tangent
,,D9,F3,6,,,,,p,FPATAN,ST1,ST,,,,,123,.1..,0.23,,Partial Arctangent and Pop
,,D9,F4,6,,,,,s,FXTRACT,ST,,,,,,123,.1..,0.23,,Extract Exponent and Significand
,,D9,F5,6,,,,,,FPREM1,ST,ST1,,,,,123,123,,,IEEE Partial Remainder
,,D9,F6,6,,,,,,FDECSTP,,,,,,,123,.1..,0.23,.0..,Decrement Stack-Top Pointer
,,D9,F7,6,,,,,,FINCSTP,,,,,,,123,.1..,0.23,.0..,Increment Stack-Top Pointer
,,D9,,7,,,,,,FNSTCW,m16,,,,,,123,,123,,Store x87 FPU Control Word
9B,,D9,,7,,,,,,FSTCW,m16,,,,,,123,,123,,Store x87 FPU Control Word
,,D9,F8,7,,,,,,FPREM,ST,ST1,,,,,123,123,,,Partial Remainder (for compatibility with i8087 and i287)
,,D9,F9,7,,,,,p,FYL2XP1,ST1,ST,,,,,123,.1..,0.23,,Compute y × log2(x+1) and Pop
,,D9,FA,7,,,,,,FSQRT,ST,,,,,,123,.1..,0.23,,Square Root
,,D9,FB,7,,,,,s,FSINCOS,ST,,,,,,123,.12.,0..3,,Sine and Cosine
,,D9,FC,7,,,,,,FRNDINT,ST,,,,,,123,.1..,0.23,,Round to Integer
,,D9,FD,7,,,,,,FSCALE,ST,ST1,,,,,123,.1..,0.23,,Scale
,,D9,FE,7,,,,,,FSIN,ST,,,,,,123,.12.,0..3,,Sine
,,D9,FF,7,,,,,,FCOS,ST,,,,,,123,.12.,0..3,,Cosine
,,DA,,0,,,,,,FIADD,ST,m32int,,,,,123,.1..,0.23,,Add
,,DA,,0,PP+,,,,,FCMOVB,ST,STi,,,,.......c,123,.1..,0.23,,FP Conditional Move - below (CF=1)
,,DA,,1,,,,,,FIMUL,ST,m32int,,,,,123,.1..,0.23,,Multiply
,,DA,,1,PP+,,,,,FCMOVE,ST,STi,,,,....z...,123,.1..,0.23,,FP Conditional Move - equal (ZF=1)
,,DA,,2,,,,,,FICOM,ST,m32int,,,,,123,123,,,Compare Integer
,,DA,,2,PP+,,,,,FCMOVBE,ST,STi,,,,....z...,123,.1..,0.23,,FP Conditional Move - below or equal (CF=1 or ZF=1)
,,DA,,3,,,,,p,FICOMP,ST,m32int,,,,,123,123,,,Compare Integer and Pop
,,DA,,3,PP+,,,,,FCMOVU,ST,STi,,,,......p.,123,.1..,0.23,,FP Conditional Move - unordered (PF=1)
,,DA,,4,,,,,,FISUB,ST,m32int,,,,,123,.1..,0.23,,Subtract
,,DA,,5,,,,,,FISUBR,ST,m32int,,,,,123,.1..,0.23,,Reverse Subtract
,,DA,E9,5,03+,,,,P,FUCOMPP,ST,ST1,,,,,123,123,,,Unordered Compare Floating Point Values and Pop Twice
,,DA,,6,,,,,,FIDIV,ST,m32int,,,,,123,.1..,0.23,,Divide
,,DA,,7,,,,,,FIDIVR,ST,m32int,,,,,123,.1..,0.23,,Reverse Divide
,,DB,,0,,,,,s,FILD,ST,m32int,,,,,123,.1..,0.23,,Load Integer
,,DB,,0,PP+,,,,,FCMOVNB,ST,STi,,,,.......c,123,.1..,0.23,,FP Conditional Move - not below (CF=0)
,,DB,,1,P4++,,,,p,FISTTP,m32int,ST,,,sse3,,123,.1..,0.23,.0..,Store Integer with Truncation and Pop
,,DB,,1,PP+,,,,,FCMOVNE,ST,STi,,,,....z...,123,.1..,0.23,,FP Conditional Move - not equal (ZF=0)
,,DB,,2,,,,,,FIST,m32int,ST,,,,,123,.1..,0.23,,Store Integer
,,DB,,2,PP+,,,,,FCMOVNBE,ST,STi,,,,....z...,123,.1..,0.23,,FP Conditional Move - below or equal (CF=0 and ZF=0)
,,DB,,3,,,,,p,FISTP,m32int,ST,,,,,123,.1..,0.23,,Store Integer and Pop
,,DB,,3,PP+,,,,,FCMOVNU,ST,STi,,,,......p.,123,.1..,0.23,,FP Conditional Move - not unordered (PF=0)
,,DB,E0,4,01+,D6,,,,FNENI nop,,,,,,,,,,,Treated as Integer NOP
,,DB,E1,4,01+,D6,,,,FNDISI nop,,,,,,,,,,,Treated as Integer NOP
,,DB,E2,4,,,,,,FNCLEX,,,,,,,123,,123,,Clear Exceptions
9B,,DB,E2,4,,,,,,FCLEX,,,,,,,123,,123,,Clear Exceptions
,,DB,E3,4,,,,,,FNINIT,,,,,,,123,,,0,Initialize Floating-Point Unit
9B,,DB,E3,4,,,,,,FINIT,,,,,,,123,,,0,Initialize Floating-Point Unit
,,DB,E4,4,03+,D7,,,,FNSETPM nop,,,,,,,,,,,Treated as Integer NOP
,,DB,,5,,,,,s,FLD,ST,m80real,,,,,123,.1..,0.23,,Load Floating Point Value
,,DB,,5,PP+,,,,,FUCOMI,ST,STi,,,,,o...z.pc .1..,o...z.pc .1..,,o.......,Unordered Compare Floating Point Values and Set EFLAGS
,,DB,,6,PP+,,,,,FCOMI,ST,STi,,,,,o...z.pc .1..,o...z.pc .1..,,o.......,Compare Floating Point Values and Set EFLAGS
,,DB,,7,,,,,p,FSTP,m80real,ST,,,,,123,.1..,0.23,,Store Floating Point Value and Pop
,,DC,,0,,,,,,FADD,ST,m64real,,,,,123,.1..,0.23,,Add
,,DC,,0,,,,,,FADD,STi,ST,,,,,123,.1..,0.23,,Add
,,DC,,1,,,,,,FMUL,ST,m64real,,,,,123,.1..,0.23,,Multiply
,,DC,,1,,,,,,FMUL,STi,ST,,,,,123,.1..,0.23,,Multiply
,,DC,,2,,,,,,FCOM,ST,m64real,,,,,123,123,,,Compare Real
,,DC,,2,03+,U9,,,,FCOM2,ST,STi,,,,,123,123,,,Compare Real
,,DC,,3,,,,,p,FCOMP,ST,m64real,,,,,123,123,,,Compare Real and Pop
,,DC,,3,03+,U9,,,p,FCOMP3,ST,STi,,,,,123,123,,,Compare Real and Pop
,,DC,,4,,,,,,FSUB,ST,m64real,,,,,123,.1..,0.23,,Subtract
,,DC,,4,,,,,,FSUBR,STi,ST,,,,,123,.1..,0.23,,Reverse Subtract
,,DC,,5,,,,,,FSUBR,ST,m64real,,,,,123,.1..,0.23,,Reverse Subtract
,,DC,,5,,,,,,FSUB,STi,ST,,,,,123,.1..,0.23,,Subtract
,,DC,,6,,,,,,FDIV,ST,m64real,,,,,123,.1..,0.23,,Divide
,,DC,,6,,,,,,FDIVR,STi,ST,,,,,123,.1..,0.23,,Reverse Divide
,,DC,,7,,,,,,FDIVR,ST,m64real,,,,,123,.1..,0.23,,Reverse Divide
,,DC,,7,,,,,,FDIV,STi,ST,,,,,123,.1..,0.23,,Divide and Pop
,,DD,,0,,,,,s,FLD,ST,m64real,,,,,123,.1..,0.23,,Load Floating Point Value
,,DD,,0,,,,,,FFREE,STi,,,,,,123,,123,,Free Floating-Point Register
,,DD,,1,P4++,,,,p,FISTTP,m64int,ST,,,sse3,,123,.1..,0.23,.0..,Store Integer with Truncation and Pop
,,DD,,1,03+,U9,,,,FXCH4,ST,STi,,,,,123,.1..,0.23,,Exchange Register Contents
,,DD,,2,,,,,,FST,m64real,ST,,,,,123,.1..,0.23,,Store Floating Point Value
,,DD,,2,,,,,,FST,ST,STi,,,,,123,.1..,0.23,,Store Floating Point Value
,,DD,,3,,,,,p,FSTP,m64real,ST,,,,,123,.1..,0.23,,Store Floating Point Value and Pop
,,DD,,3,,,,,p,FSTP,ST,STi,,,,,123,.1..,0.23,,Store Floating Point Value and Pop
,,DD,,4,,,,,,FRSTOR,ST,ST1,ST2,...,,,123,123,,,Restore x87 FPU State
,,DD,,4,03+,,,,,FUCOM,ST,STi,,,,,123,123,,,Unordered Compare Floating Point Values
,,DD,E1,4,03+,,,,,FUCOM,ST,ST1,,,,,123,123,,,Unordered Compare Floating Point Values
,,DD,,5,03+,,,,p,FUCOMP,ST,STi,,,,,123,123,,,Unordered Compare Floating Point Values and Pop
,,DD,E9,5,03+,,,,p,FUCOMP,ST,ST1,,,,,123,123,,,Unordered Compare Floating Point Values and Pop
,,DD,,6,,,,,,FNSAVE,m94/108,ST,ST1,...,,,123,123,,0,Store x87 FPU State
9B,,DD,,6,,,,,,FSAVE,m94/108,ST,ST1,...,,,123,123,,0,Store x87 FPU State
,,DD,,7,,,,,,FNSTSW,m16,,,,,,123,,123,,Store x87 FPU Status Word
9B,,DD,,7,,,,,,FSTSW,m16,,,,,,123,,123,,Store x87 FPU Status Word
,,DE,,0,,,,,,FIADD,ST,m16int,,,,,123,.1..,0.23,,Add
,,DE,,0,,,,,p,FADDP,STi,ST,,,,,123,.1..,0.23,,Add and Pop
,,DE,C1,0,,,,,p,FADDP,ST1,ST,,,,,123,.1..,0.23,,Add and Pop
,,DE,,1,,,,,,FIMUL,ST,m16int,,,,,123,.1..,0.23,,Multiply
,,DE,,1,,,,,p,FMULP,STi,ST,,,,,123,.1..,0.23,,Multiply and Pop
,,DE,C9,1,,,,,p,FMULP,ST1,ST,,,,,123,.1..,0.23,,Multiply and Pop
,,DE,,2,,,,,,FICOM,ST,m16int,,,,,123,123,,,Compare Integer
,,DE,,2,03+,U9,,,p,FCOMP5,ST,STi,,,,,123,123,,,Compare Real and Pop
,,DE,,3,,,,,p,FICOMP,ST,m16int,,,,,123,123,,,Compare Integer and Pop
,,DE,D9,3,,,,,P,FCOMPP,ST,ST1,,,,,123,123,,,Compare Real and Pop Twice
,,DE,,4,,,,,,FISUB,ST,m16int,,,,,123,.1..,0.23,,Subtract
,,DE,,4,,,,,p,FSUBRP,STi,ST,,,,,123,.1..,0.23,,Reverse Subtract and Pop
,,DE,E1,4,,,,,p,FSUBRP,ST1,ST,,,,,123,.1..,0.23,,Reverse Subtract and Pop
,,DE,,5,,,,,,FISUBR,ST,m16int,,,,,123,.1..,0.23,,Reverse Subtract
,,DE,,5,,,,,p,FSUBP,STi,ST,,,,,123,.1..,0.23,,Subtract and Pop
,,DE,E9,5,,,,,p,FSUBP,ST1,ST,,,,,123,.1..,0.23,,Subtract and Pop
,,DE,,6,,,,,,FIDIV,ST,m16int,,,,,123,.1..,0.23,,Divide
,,DE,,6,,,,,p,FDIVRP,STi,ST,,,,,123,.1..,0.23,,Reverse Divide and Pop
,,DE,F1,6,,,,,p,FDIVRP,ST1,ST,,,,,123,.1..,0.23,,Reverse Divide and Pop
,,DE,,7,,,,,,FIDIVR,ST,m16int,,,,,123,.1..,0.23,,Reverse Divide
,,DE,,7,,,,,p,FDIVP,STi,ST,,,,,123,.1..,0.23,,Divide and Pop
,,DE,F9,7,,,,,p,FDIVP,ST1,ST,,,,,123,.1..,0.23,,Divide and Pop
,,DF,,0,,,,,s,FILD,ST,m16int,,,,,123,.1..,0.23,,Load Integer
,,DF,,0,,D8,,,p,FFREEP,STi,,,,,,123,,123,,Free Floating-Point Register and Pop
,,DF,,1,P4++,,,,p,FISTTP,m16int,ST,,,sse3,,123,.1..,0.23,.0..,Store Integer with Truncation and Pop
,,DF,,1,03+,U9,,,,FXCH7,ST,STi,,,,,123,.1..,0.23,,Exchange Register Contents
,,DF,,2,,,,,,FIST,m16int,ST,,,,,123,.1..,0.23,,Store Integer
,,DF,,2,03+,U9,,,p,FSTP8,STi,ST,,,,,123,.1..,0.23,,Store Floating Point Value and Pop
,,DF,,3,,,,,p,FISTP,m16int,ST,,,,,123,.1..,0.23,,Store Integer and Pop
,,DF,,3,03+,U9,,,p,FSTP9,STi,ST,,,,,123,.1..,0.23,,Store Floating Point Value and Pop
,,DF,,4,,,,,s,FBLD,ST,m80dec,,,,,123,.1..,0.23,,Load Binary Coded Decimal
,,DF,E0,4,02+,,,,,FNSTSW,AX,,,,,,123,,123,,Store x87 FPU Status Word
9B,,DF,E0,4,02+,,,,,FSTSW,AX,,,,,,123,,123,,Store x87 FPU Status Word
,,DF,,5,,,,,s,FILD,ST,m64int,,,,,123,.1..,0.23,,Load Integer
,,DF,,5,PP+,,,,p,FUCOMIP,ST,STi,,,,,o...z.pc .1..,o...z.pc .1..,,o.......,Unordered Compare Floating Point Values and Set EFLAGS and Pop
,,DF,,6,,,,,p,FBSTP,m80dec,ST,,,,,123,.1..,0.23,,Store BCD Integer and Pop
,,DF,,6,PP+,,,,p,FCOMIP,ST,STi,,,,,o...z.pc .1..,o...z.pc .1..,,o.......,Compare Floating Point Values and Set EFLAGS and Pop
,,DF,,7,,,,,p,FISTP,m64int,ST,,,,,123,.1..,0.23,,Store Integer and Pop
,,E0,,,,,,,,LOOPNZ,eCX,rel8,,,,....z...,,,,,Decrement count; Jump short if count!=0 and ZF=0
,,,,,,,,,,LOOPNE,eCX,rel8,,,,,,,,,
,,E1,,,,,,,,LOOPZ,eCX,rel8,,,,....z...,,,,,Decrement count; Jump short if count!=0 and ZF=1
,,,,,,,,,,LOOPE,eCX,rel8,,,,,,,,,
,,E2,,,,,,,,LOOP,eCX,rel8,,,,,,,,,Decrement count; Jump short if count!=0
,,E3,,,,,,,,JCXZ,rel8,CX,,,,,,,,,Jump short if eCX register is 0
,,,,,,,,,,JECXZ,rel8,ECX,,,,,,,,,
,,E4,,,,,,f1,,IN,AL,imm8,,,,,,,,,Input from Port
,,E5,,,,,,f1,,IN,eAX,imm8,,,,,,,,,Input from Port
,,E6,,,,,,f1,,OUT,imm8,AL,,,,,,,,,Output to Port
,,E7,,,,,,f1,,OUT,imm8,eAX,,,,,,,,,Output to Port
,,E8,,,,,,,,CALL,rel16/32,,,,,,,,,,Call Procedure
,,E9,,,,,,,,JMP,rel16/32,,,,,,,,,,Jump
,,EA,,,,,,,,JMPF,ptr16:16/32,,,,,,,,,,Jump
,,EB,,,,,,,,JMP,rel8,,,,,,,,,,Jump
,,EC,,,,,,f1,,IN,AL,DX,,,,,,,,,Input from Port
,,ED,,,,,,f1,,IN,eAX,DX,,,,,,,,,Input from Port
,,EE,,,,,,f1,,OUT,DX,AL,,,,,,,,,Output to Port
,,EF,,,,,,f1,,OUT,DX,eAX,,,,,,,,,Output to Port
F0,,,,,,,,,,LOCK,,,,,,,,,,,Assert LOCK# Signal Prefix
,,F1,,,,D3,,,,undefined,,,,,,,,,,,Undefined and Reserved; Does not Generate #UD
,,F1,,,03+,U10,,,,INT1,eFlags,,,,,,..i.....,..i.....,,..i.....,Call to Interrupt Procedure
,,,,,,,,,,ICEBP,eFlags,,,,,,,,,,
F2,,,,,,D11,,,,REPNZ,eCX,,,,,....z...,,,,,Repeat String Operation Prefix
,,,,,,,,,,REPNE,eCX,,,,,,,,,,
F2,,,,,,U11,,,,REP,eCX,,,,,,,,,,Repeat String Operation Prefix
F2,,,,,P4+,M,,,,no mnemonic,,,,,sse2,,,,,,Scalar Double-precision Prefix
F3,,,,,,D11,,,,REPZ,eCX,,,,,....z...,,,,,Repeat String Operation Prefix
,,,,,,,,,,REPE,eCX,,,,,,,,,,
F3,,,,,,D11,,,,REP,eCX,,,,,,,,,,Repeat String Operation Prefix
F3,,,,,P3+,M,,,,no mnemonic,,,,,sse1,,,,,,Scalar Single-precision Prefix
,,F4,,,,,,0,,HLT,,,,,,,,,,,Halt
,,F5,,,,,,,,CMC,,,,,,.......c,.......c,.......c,,,Complement Carry Flag
,,F6,,0,,,,,,TEST,r/m8,imm8,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Compare
,,F6,,1,,U12,,,,TEST,r/m8,imm8,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Compare
,,F6,,2,,,,,L,NOT,r/m8,,,,,,,,,,One's Complement Negation
,,F6,,3,,,,,L,NEG,r/m8,,,,,,o..szapc,o..szapc,,,Two's Complement Negation
,,F6,,4,,,,,,MUL,AX,AL,r/m8,,,,o..szapc,o......c,...szap.,,Unsigned Multiply
,,F6,,5,,,,,,IMUL,AX,AL,r/m8,,,,o..szapc,o......c,...szap.,,Signed Multiply
,,F6,,6,,,,,,DIV,AL,AH,AX,r/m8,,,o..szapc,,o..szapc,,Unsigned Divide
,,F6,,7,,,,,,IDIV,AL,AH,AX,r/m8,,,o..szapc,,o..szapc,,Signed Divide
,,F7,,0,,,,,,TEST,r/m16/32,imm16/32,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Compare
,,F7,,1,,U12,,,,TEST,r/m16/32,imm16/32,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Compare
,,F7,,2,,,,,L,NOT,r/m16/32,,,,,,,,,,One's Complement Negation
,,F7,,3,,,,,L,NEG,r/m16/32,,,,,,o..szapc,o..szapc,,,Two's Complement Negation
,,F7,,4,,,,,,MUL,eDX,eAX,r/m16/32,,,,o..szapc,o......c,...szap.,,Unsigned Multiply
,,F7,,5,,,,,,IMUL,eDX,eAX,r/m16/32,,,,o..szapc,o......c,...szap.,,Signed Multiply
,,F7,,6,,,,,,DIV,eDX,eAX,r/m16/32,,,,o..szapc,,o..szapc,,Unsigned Divide
,,F7,,7,,,,,,IDIV,eDX,eAX,r/m16/32,,,,o..szapc,,o..szapc,,Signed Divide
,,F8,,,,,,,,CLC,,,,,,,.......c,.......c,,.......c,Clear Carry Flag
,,F9,,,,,,,,STC,,,,,,,.......c,.......c,,.......C,Set Carry Flag
,,FA,,,,,,f1,,CLI,,,,,,,..i.....,..i.....,,..i.....,Clear Interrupt Flag
,,FB,,,,,,f1,,STI,,,,,,,..i.....,..i.....,,..I.....,Set Interrupt Flag
,,FC,,,,,,,,CLD,,,,,,,.d......,.d......,,.d......,Clear Direction Flag
,,FD,,,,,,,,STD,,,,,,,.d......,.d......,,.D......,Set Direction Flag
,,FE,,0,,,,,L,INC,r/m8,,,,,,o..szap.,o..szap.,,,Increment by 1
,,FE,,1,,,,,L,DEC,r/m8,,,,,,o..szap.,o..szap.,,,Decrement by 1
,,FF,,0,,,,,L,INC,r/m16/32,,,,,,o..szap.,o..szap.,,,Increment by 1
,,FF,,1,,,,,L,DEC,r/m16/32,,,,,,o..szap.,o..szap.,,,Decrement by 1
,,FF,,2,,,,,,CALL,r/m16/32,,,,,,,,,,Call Procedure
,,FF,,3,,,,,,CALLF,m16:16/32,,,,,,,,,,Call Procedure
,,FF,,4,,,,,,JMP,r/m16/32,,,,,,,,,,Jump
,,FF,,5,,,,,,JMPF,m16:16/32,,,,,,,,,,Jump
,,FF,,6,,,,,,PUSH,r/m16/32,,,,,,,,,,"Push Word, Doubleword or Quadword Onto the Stack"
pf,0F,po,so,o,proc,st,m,rl,x,mnemonic,op1,op2,op3,op4,iext,tested f,modif f,def f,undef f,f values,"description, notes                                        "
,0F,0,,0,02+,,P,,,SLDT,m16,LDTR,,,,,,,,,Store Local Descriptor Table Register
,,,,,,,,,,SLDT,r16/32,LDTR,,,,,,,,,
,0F,0,,1,02+,,P,,,STR,m16,TR,,,,,,,,,Store Task Register
,,,,,,,,,,STR,r16/32,TR,,,,,,,,,
,0F,0,,2,02+,,P,0,,LLDT,LDTR,r/m16,,,,,,,,,Load Local Descriptor Table Register
,0F,0,,3,02+,,P,0,,LTR,TR,r/m16,,,,,,,,,Load Task Register
,0F,0,,4,02+,,P,,,VERR,r/m16,,,,,,....z...,....z...,,,Verify a Segment for Reading
,0F,0,,5,02+,,P,,,VERW,r/m16,,,,,,....z...,....z...,,,Verify a Segment for Writing
,0F,1,,0,02+,,,,,SGDT,m,GDTR,,,,,,,,,Store Global Descriptor Table Register
,0F,1,C1,0,P4++,D24,P,0,,VMCALL,,,,,vmx,,o..szapc,o..szapc,,,Call to VM Monitor
,0F,1,C2,0,P4++,D24,P,0,,VMLAUNCH,,,,,vmx,,o..szapc,o..szapc,,,Launch Virtual Machine
,0F,1,C3,0,P4++,D24,P,0,,VMRESUME,,,,,vmx,,o..szapc,o..szapc,,,Resume Virtual Machine
,0F,1,C4,0,P4++,D24,P,0,,VMXOFF,,,,,vmx,,o..szapc,o..szapc,,,Leave VMX Operation
,0F,1,,1,02+,,,,,SIDT,m,IDTR,,,,,,,,,Store Interrupt Descriptor Table Register
,0F,1,C8,1,P4++,,,0,,MONITOR,m8,ECX,EDX,,sse3,,,,,,Set Up Monitor Address
,0F,1,C9,1,P4++,,,0,,MWAIT,EAX,ECX,,,sse3,,,,,,Monitor Wait
,0F,1,,2,02+,,,0,,LGDT,GDTR,m,,,,,,,,,Load Global Descriptor Table Register
,0F,1,D0,2,C2++,,,,,XGETBV,EDX,EAX,ECX,XCR,,,,,,,Get Value of Extended Control Register
,0F,1,D1,2,C2++,,,0,,XSETBV,XCR,ECX,EDX,EAX,,,,,,,Set Extended Control Register
,0F,1,,3,02+,,,0,,LIDT,IDTR,m,,,,,,,,,Load Interrupt Descriptor Table Register
,0F,1,,4,02+,D13,,,,SMSW,m16,MSW,,,,,,,,,Store Machine Status Word
,,,,,,,,,,SMSW,r16/32,MSW,,,,,,,,,
,0F,1,,6,02+,,,0,,LMSW,MSW,r/m16,,,,,,,,,Load Machine Status Word
,0F,1,,7,04+,,,0,,INVLPG,m,,,,,,,,,,Invalidate TLB Entry
,0F,1,F9,7,C7+,,,f2,,RDTSCP,EAX,EDX,ECX,...,,,,,,,Read Time-Stamp Counter and Processor ID
,0F,2,,r,02+,,P,,,LAR,r16/32,m16,,,,,....z...,....z...,,,Load Access Rights Byte
,,,,,,,,,,LAR,r16/32,r16/32,,,,,,,,,
,0F,3,,r,02+,,P,,,LSL,r16/32,m16,,,,,....z...,....z...,,,Load Segment Limit
,,,,,,,,,,LSL,r16/32,r16/32,,,,,,,,,
,0F,6,,,02+,,,0,,CLTS,CR0,,,,,,,,,,Clear Task-Switched Flag in CR0
,0F,8,,,04+,,,0,,INVD,,,,,,,,,,,Invalidate Internal Caches
,0F,9,,,04+,,,0,,WBINVD,,,,,,,,,,,Write Back and Invalidate Cache
,0F,0B,,,02+,,,,,UD2,,,,,,,,,,,Undefined Instruction
,0F,0D,,,PP+,M14,,,,NOP,r/m16/32,,,,,,,,,,No Operation
,0F,10,,r,P3+,,,,,MOVUPS,xmm,xmm/m128,,,sse1,,,,,,Move Unaligned Packed Single-FP Values
F3,0F,10,,r,P3+,,,,,MOVSS,xmm,xmm/m32,,,sse1,,,,,,Move Scalar Single-FP Values
